bar_code,EPA_Reg_ID,product_name,sds,Active Ingredient(s),EPA Registered Product Name,Company,Follow the disinfection directions and preparation for the following virus,Contact Time (in minutes),Formulation Type,Surface Types for Use,Use Site,Emerging Viral Pathogen Claim?,Date Added to List N
019200901451,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200902885,777-114,LYSOL WIPES 6/80 CT   P80,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc26a9baac73a001509bf94/sds20190426-21-pnxlfr.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200905084,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200905091,777-114,Lysol Disinfecting Wipes - Crisp Linen,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200905107,777-114,Lysol Disinfecting Wipes - Early Morning Breeze,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200928090,777-114,Lysol Disinfecting Wipes - Lemon and Lime Blossom,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5ce2a955c433450016c78817/sds20190520-22-1n3bxqq.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200928557,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200928601,777-114,"Lysol Disinfecting Wipes - Lemon and Lime Blossom, 80 ct",https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200929936,777-114,"Disinfecting Wipes, 7 x 8, White, Unscented, 80/Canister, 6/Carton",https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200930109,777-114,"Reckitt Benckiser Lysol Disinfecting Wipes, 110 Shts, 12oz., 2/PK, White",https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc36c31f06461001563c5b4/sds20190426-21-wuf1zy.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200930307,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200930314,777-114,"Lysol Red Cap Disinfecting Wipes, 35 sheets, (Pack of 3) (Medium, Red Original Scent)",https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200930437,777-114,LYSOL Brand Disinfecting Wipes,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200937788,777-66,LYSOL All Purpose Cleaner - Lemon Breeze,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cb97a874fbb02224a4a40c0/sds20190419-8778-1ph5ddi.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200938518,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200939942,777-114,LYSOL SCRUBBING POWER BATHROOM WIPES CITRUS SCENT 35CT,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200953672,777-66,LYSOL All Purpose Cleaner - Cherry Blossom & Pomegranate,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5ccca0b23579100015c069f6/sds20190503-21-1yt3vt5.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200961875,777-114,Lysol Disinfecting Wipes - Lemon and Lime Blossom,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200962667,777-66,Lysol Disinfectant Kitchen Cleaner Trigger,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc3734984929c001b998c17/sds20190426-27-1tr3137.pdf,Quaternary ammonium,Lysol® Brand All Purpose Cleaner,Reckitt Benckiser,Human coronavirus,2,RTU,Hard nonporous,Healthcare; Institutional; Residential,No,3/13/2020
019200964333,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200965101,777-114,Lysol Disinfecting Wipes - Lemon Advanced Cleaning,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cd453673e70d4001551164e/sds20190509-21-1l5nmu1.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966108,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966115,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966122,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966139,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966146,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966153,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966160,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966214,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966221,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200966641,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200967280,777-114,Disinfecting Wipes Pack,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200971805,777-114,"Lysol Disinfecting Wipes, Country Breeze Scent, 80ct",https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc378761e059800187a2556/sds20190426-24-1a2sbef.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200971812,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc37893654a9b00159e04b9/sds20190426-21-1hrm1rb.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200981002,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200981019,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200981026,777-114,Lysol Disinfecting Wipes - Brighter Horizon,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200981033,777-114,Lysol Disinfecting Wipes - All Scents,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc22d78b11a2c0015623241/sds20190425-21-jnrcbu.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
019200983549,777-114,Lysol Disinfecting Wipes - Lemon and Lime Blossom,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5ce2a955c433450016c78817/sds20190520-22-1n3bxqq.pdf,Quaternary ammonium,Lysol® Disinfecting Wipes (All Scents),Reckitt Benckiser,Rotavirus,10,Wipe,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/13/2020
